key,instantation-moment,caption,author-alias,message,email
blink-01,2022/11/06 15:00,Hey!,John Doe,Lorem ipsum dolor sit amet consectetur adipiscing elit,example@gmail.com
blink-02,2022/11/03 18:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam vestibulum sed.,John Doe,The night is dark and full of terrors,example@gmail.com
blink-03,2022/11/01 19:30,Hola!,Jose Perez,Lorem ipsum dolor sit amet consectetur adipiscing elit,example@gmail.com
blink-04,2022/11/01 10:00,A,A,Sample blink,null
blink-05,2022/10/21 16:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed viverra metus. ,Raul,Another sample peep,example@gmail.com
blink-06,2021/12/31 23:59,Example blink 6,Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam vestibulum sed.,Example blink 6,null
blink-07,2021/12/31 00:00,Example blink 7,John Doe,Lorem ipsum dolor sit amet consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Donec quam felis ultricies nec pellentesque eu pretium quis,example@gmail.com
blink-08,2022/01/01 00:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed viverra metus. ,John Doe,Lorem ipsum dolor sit amet consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Donec quam felis ultricies nec pellentesque eu pretium quis,null
blink-09,1900/10/01 15:00,Blink de ejemplo 9,Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam vestibulum sed.,Blink de ejemplo,null
blink-10,1900/10/01 15:00,Blink de ejemplo 10,Daniel, Lorem ipsum dolor sit amet consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Donec quam felis ultricies nec pellentesque eu pretium quis,example@gmail.com
